版 ban3  塥 ge2  鸓 lei3  饶 rao2  緒 xu4  
板 ban3  鎘 ge2  腂 lei3  荛 rao2  聟 xu4  
阪 ban3  葛 ge2/ge3  蠝 lei3  桡 rao2  稸 xu4  
坂 ban3  蛤 ge2/ha2  类 lei4  饒 rao2  訹 xu4  
舨 ban3  阖 ge2/he2  泪 lei4  娆 rao2/rao3  盢 xu4  
钣 ban3  舸 ge3  肋 lei4  扰 rao3  顼 xu4/xu1  
覂 ban3  哿 ge3  類 lei4  遶 rao3  宣 xuan1  
办 ban4  鲄 ge3  酹 lei4  绕 rao4  轩 xuan1  
半 ban4  魺 ge3  纍 lei4  繞 rao4  喧 xuan1  
伴 ban4  合 ge3/he2  埒 lei4/lie4  惹 re3  暄 xuan1  
扮 ban4  个 ge4  棱 leng2  喏 re3/nuo4  煊 xuan1  
瓣 ban4  各 ge4  楞 leng2  热 re4  萱 xuan1  
绊 ban4  铬 ge4  塄 leng2  人 ren2  谖 xuan1  
拌 ban4  虼 ge4  稜 leng2  仁 ren2  揎 xuan1  
辦 ban4  硌 ge4  薐 leng2  壬 ren2  儇 xuan1  
跘 ban4  箇 ge4  輘 leng2  鵀 ren2  譞 xuan1  
絆 ban4  給 gei3  冷 leng3  魜 ren2  蕿 xuan1  
帮 bang1  给 gei3/ji3  愣 leng4  忍 ren3  翧 xuan1  
邦 bang1  根 gen1  睖 leng4  稔 ren3  軒 xuan1  
梆 bang1  跟 gen1  哩 li1/li3/li  荏 ren3  矎 xuan1  
浜 bang1  哏 gen2  离 li2  秹 ren3  禤 xuan1  
邫 bang1  亘 gen4  黎 li2  任 ren4  諠 xuan1  
傍 bang1/bang4  艮 gen4  璃 li2  认 ren4  睻 xuan1  
绑 bang3  茛 gen4  厘 li2  刃 ren4  玄 xuan2  
榜 bang3  耕 geng1  狸 li2  韧 ren4  悬 xuan2  
膀 bang3/bang4/pang1/pang2  庚 geng1  梨 li2  妊 ren4  璇 xuan2  
棒 bang4  赓 geng1  篱 li2  纫 ren4  漩 xuan2  
镑 bang4  羹 geng1  犁 li2  饪 ren4  蜁 xuan2  
谤 bang4  絙 geng1  漓 li2  仞 ren4  痃 xuan2  
蚌 bang4  鶊 geng1  罹 li2  衽 ren4  旋 xuan2/xuan4  
蒡 bang4  鹒 geng1  藜 li2  認 ren4  选 xuan3  
稖 bang4  縆 geng1  蜊 li2  轫 ren4  癣 xuan3  
艕 bang4  賡 geng1  骊 li2  訒 ren4  選 xuan3  
蛖 bang4  更 geng1/geng4  嫠 li2  韌 ren4  眩 xuan4  
磅 bang4/pang2  耿 geng3  鹂 li2  袵 ren4  炫 xuan4  
包 bao1  梗 geng3  鲡 li2  讱 ren4  渲 xuan4  
胞 bao1  哽 geng3  黧 li2  靭 ren4  绚 xuan4  
褒 bao1  埂 geng3  喱 li2  餁 ren4  铉 xuan4  
苞 bao1  鲠 geng3  缡 li2  纴 ren4  楦 xuan4  
孢 bao1  绠 geng3  離 li2  絍 ren4  泫 xuan4  
煲 bao1  鯁 geng3  釐 li2  靱 ren4  镟 xuan4  
笣 bao1  骾 geng3  粚 li2  飪 ren4  衒 xuan4  
雹 bao2  公 gong1  蓠 li2  紝 ren4  絃 xuan4  
窇 bao2  工 gong1  醨 li2  軔 ren4  袨 xuan4  
保 bao3  功 gong1  褵 li2  恁 ren4/nin2  縼 xuan4  
宝 bao3  攻 gong1  謧 li2  葚 ren4/shen4  蔙 xuan4  
饱 bao3  宫 gong1  鯏 li2  扔 reng1  駨 xuan4  
葆 bao3  恭 gong1  鋫 li2  仍 reng2  薛 xue1  
褓 bao3  弓 gong1  盠 li2  礽 reng2  靴 xue1  
鸨 bao3  躬 gong1  邌 li2  日 ri4  学 xue2  
飽 bao3  龚 gong1  鯬 li2  鈤 ri4  穴 xue2  
賲 bao3  蚣 gong1  菞 li2  容 rong2  泶 xue2  
藵 bao3  觥 gong1  筣 li2  荣 rong2  袕 xue2  
堡 bao3/pu4  肱 gong1  籬 li2  融 rong2  鸴 xue2  
报 bao4  魟 gong1  鱺 li2  溶 rong2  鷽 xue2  
暴 bao4  碽 gong1  蠡 li2/li3  绒 rong2  雪 xue3  
抱 bao4  龔 gong1  丽 li2/li4  蓉 rong2  鳕 xue3  
爆 bao4  供 gong1/gong4  里 li3  熔 rong2  谑 xue4  
鲍 bao4  巩 gong3  理 li3  戎 rong2  勋 xun1  
豹 bao4  拱 gong3  李 li3  镕 rong2  熏 xun1  
菢 bao4  汞 gong3  礼 li3  茸 rong2  薰 xun1  
袌 bao4  珙 gong3  鲤 li3  榕 rong2  醺 xun1  
趵 bao4/bo1  鞏 gong3  俚 li3  嵘 rong2  獯 xun1  
刨 bao4/pao2  共 gong4  澧 li3  肜 rong2  埙 xun1  
瀑 bao4/pu4  贡 gong4  锂 li3  蝾 rong2  曛 xun1  
悲 bei1  貢 gong4  醴 li3  絨 rong2  纁 xun1  
杯 bei1  沟 gou1  娌 li3  鎔 rong2  臐 xun1  
卑 bei1  钩 gou1  逦 li3  褣 rong2  矄 xun1  
碑 bei1  篝 gou1  裡 li3  駥 rong2  窨 xun1/yin4  
鹎 bei1  佝 gou1  鳢 li3  狨 rong2  寻 xun2  
藣 bei1  鞲 gou1  鱧 li3  冗 rong3  巡 xun2  
背 bei1/bei4  缑 gou1  裏 li3  穃 rong4  询 xun2  
北 bei3  鉤 gou1  粴 li3  柔 rou2  循 xun2  
被 bei4  袧 gou1  禮 li3  揉 rou2  旬 xun2  
备 bei4  簼 gou1  鋰 li3  蹂 rou2  荀 xun2  
贝 bei4  褠 gou1  力 li4  鞣 rou2  洵 xun2  
倍 bei4  緱 gou1  利 li4  糅 rou2  峋 xun2  
辈 bei4  枸 gou1/gou3/ju3  立 li4  腬 rou2  鲟 xun2  
惫 bei4  勾 gou1/gou4  历 li4  葇 rou2  浔 xun2  
狈 bei4  狗 gou3  例 li4  肉 rou4  恂 xun2  
悖 bei4  苟 gou3  厉 li4  如 ru2  鄩 xun2  
钡 bei4  笱 gou3  励 li4  儒 ru2  詢 xun2  
蓓 bei4  岣 gou3  粒 li4  蠕 ru2  郇 xun2  
焙 bei4  耈 gou3  隶 li4  茹 ru2  紃 xun2  
碚 bei4  耇 gou3  莉 li4  孺 ru2  蟳 xun2  
鞴 bei4  构 gou4  吏 li4  嚅 ru2  驯 xun2/xun4  
鐾 bei4  够 gou4  栗 li4  濡 ru2  训 xun4  
褙 bei4  购 gou4  笠 li4  薷 ru2  迅 xun4  
貝 bei4  垢 gou4  砾 li4  铷 ru2  讯 xun4  
誖 bei4  媾 gou4  雳 li4  襦 ru2  逊 xun4  
邶 bei4  诟 gou4  俐 li4  颥 ru2  殉 xun4  
骳 bei4  彀 gou4  沥 li4  顬 ru2  汛 xun4  
輩 bei4  觏 gou4  荔 li4  袽 ru2  徇 xun4  
鐴 bei4  遘 gou4  痢 li4  鴽 ru2  巽 xun4  
鋇 bei4  購 gou4  戾 li4  乳 ru3  訓 xun4  
孛 bei4/bo2  詬 gou4  蛎 li4  辱 ru3  蕈 xun4  
锛 ben1  雊 gou4  詈 li4  汝 ru3  訊 xun4  
賁 ben1  訽 gou4  俪 li4  入 ru4  訙 xun4  
奔 ben1/ben4  覯 gou4  栎 li4  褥 ru4  遜 xun4  
贲 ben1/bi4  姑 gu1  砺 li4  缛 ru4  稄 xun4  
本 ben3  孤 gu1  莅 li4  洳 ru4  顨 xun4  
苯 ben3  咕 gu1  郦 li4  溽 ru4  馴 xun4  
畚 ben3  辜 gu1  傈 li4  蓐 ru4  呀 ya/ya1  
翉 ben3  菇 gu1  枥 li4  鳰 ru4  押 ya1  
笨 ben4  沽 gu1  跞 li4  込 ru4  鸭 ya1  
坌 ben4  箍 gu1  唳 li4  软 ruan3  鸦 ya1  
輽 ben4  轱 gu1  粝 li4  阮 ruan3  丫 ya1  
崩 beng1  鸪 gu1  疠 li4  朊 ruan3  桠 ya1  
嘣 beng1  蛄 gu1  呖 li4  軟 ruan3  錏 ya1  
繃 beng1  菰 gu1  溧 li4  緛 ruan3  铔 ya1  
絣 beng1  觚 gu1  苈 li4  蕤 rui2  鴨 ya1  
绷 beng1/beng3  酤 gu1  猁 li4  緌 rui2  鴉 ya1  
甭 beng2  笟 gu1  疬 li4  蕊 rui3  哑 ya1/ya3  
鞛 beng3  蓇 gu1  轹 li4  蘂 rui3  压 ya1/ya4  
蹦 beng4  鴣 gu1  篥 li4  瑞 rui4  牙 ya2  
迸 beng4  苽 gu1  坜 li4  锐 rui4  涯 ya2  
泵 beng4  轂 gu1  麗 li4  睿 rui4  芽 ya2  
甏 beng4  箛 gu1  麜 li4  芮 rui4  衙 ya2  
鏰 beng4  毂 gu1/gu3  隸 li4  蚋 rui4  伢 ya2  
镚 beng4  估 gu1/gu4  蒞 li4  枘 rui4  蚜 ya2  
跰 beng4  呱 gu1/gua1  脷 li4  銳 rui4  琊 ya2  
錋 beng4  古 gu3  苙 li4  润 run4  睚 ya2  
逼 bi1  股 gu3  磿 li4  闰 run4  岈 ya2  
螕 bi1  骨 gu3  綟 li4  閏 run4  顔 ya2  
鲾 bi1  鼓 gu3  讈 li4  若 ruo4  雅 ya3  
匕 bi1/bi3  蛊 gu3  藶 li4  弱 ruo4  痖 ya3  
鼻 bi2  汩 gu3  蠣 li4  偌 ruo4  亚 ya4  
荸 bi2  钴 gu3  赲 li4  箬 ruo4  讶 ya4  
笔 bi3  诂 gu3  俩 lia3/liang3  鶸 ruo4  娅 ya4  
彼 bi3  牯 gu3  联 lian2  蒻 ruo4  氩 ya4  
鄙 bi3  罟 gu3  连 lian2  仨 sa1  迓 ya4  
俾 bi3  瞽 gu3  怜 lian2  撒 sa1/sa3  砑 ya4  
吡 bi3  臌 gu3  廉 lian2  洒 sa3  揠 ya4  
妣 bi3  馉 gu3  莲 lian2  靸 sa3  訝 ya4  
筆 bi3  脵 gu3  帘 lian2  萨 sa4  穵 ya4  
秕 bi3  盬 gu3  镰 lian2  卅 sa4  輵 ya4  
舭 bi3  糓 gu3  涟 lian2  飒 sa4  襾 ya4  
聛 bi3  鹄 gu3/hu2  濂 lian2  脎 sa4  窫 ya4  
貏 bi3  滑 gu3/hua2  臁 lian2  腮 sai1  垭 ya4/ya1  
粊 bi3  贾 gu3/jia3  鲢 lian2  鳃 sai1  轧 ya4/zha2  
